Date,SPY,TLT,IEF,GLD,VNQ,DBC
2016-01-04,200.2454,119.8037,104.827,115.2931,80.1901,16.0843
2016-01-05,199.1413,119.1984,104.5166,114.4858,79.5993,16.0066
2016-01-06,200.3912,119.6132,104.6595,114.4289,80.5565,15.9937
2016-01-07,200.5395,120.3786,104.8187,114.1719,80.6515,15.9358
2016-01-08,200.2153,121.4169,105.1513,114.3522,81.1667,15.7057
2016-01-11,201.917,120.9144,105.0142,116.9232,81.9719,15.8282
2016-01-12,200.9023,119.8729,104.7068,119.5634,81.1364,15.643
2016-01-13,201.6967,120.5701,104.9195,119.7346,81.9823,15.6771
2016-01-14,202.4617,120.3177,104.8293,118.7527,82.2816,15.403
2016-01-15,199.384,122.7936,105.5555,121.4735,81.3703,15.5691
2016-01-18,199.6403,122.9258,105.9843,122.2855,81.3238,15.6105
2016-01-19,197.0079,120.9853,105.5098,121.3749,80.0339,15.4352
2016-01-20,196.9747,121.2931,105.6006,121.6787,80.0687,15.3801
2016-01-21,188.8576,122.9841,106.1963,121.1281,77.4264,14.9508
2016-01-22,189.1756,125.7112,106.9857,118.8841,77.6723,14.5798
2016-01-25,190.2322,126.3724,107.292,120.1614,77.9383,14.6837
2016-01-26,190.7677,127.4303,107.5923,120.2099,77.7983,14.4754
2016-01-27,190.199,128.0793,107.77,119.4724,77.4271,14.4849
2016-01-28,188.031,129.2704,108.3177,120.091,76.6052,14.2649
2016-01-29,187.8418,130.5563,108.8205,119.4712,76.3554,14.2116
2016-02-01,184.4851,131.7847,108.8318,117.6234,74.8855,13.951
2016-02-02,186.3047,131.7797,108.9214,115.8261,75.6395,13.9494
2016-02-03,186.5715,131.9653,108.9314,115.6335,76.0916,13.9528
2016-02-04,191.2601,129.1699,108.1548,116.178,77.5785,14.0043
2016-02-05,192.3391,128.9405,108.1622,115.7071,77.8442,13.8435
2016-02-08,189.8873,129.4822,108.2554,114.7055,77.1918,13.7477
2016-02-09,190.9364,128.7309,108.1131,115.9976,77.3357,13.7875
2016-02-10,191.068,127.8679,107.8747,116.87,76.9483,13.8026
2016-02-11,191.2384,128.4718,108.0979,117.7877,77.0977,13.7386
2016-02-12,189.9351,128.6306,107.9594,118.067,76.3571,13.63
2016-02-15,191.6338,128.399,107.9171,118.359,76.7021,13.6895
2016-02-16,191.3047,127.9183,107.7637,119.113,76.8061,13.6375
2016-02-17,189.8532,127.8675,107.9274,121.0429,76.2789,13.7703
2016-02-18,192.0087,126.5381,107.6045,121.8921,76.5556,13.8898
2016-02-19,191.3753,126.1146,107.4567,122.1389,76.085,13.547
2016-02-22,191.8061,126.4572,107.8487,122.7474,76.402,13.5869
2016-02-23,191.4495,126.5647,107.9598,121.6325,76.23,13.4936
2016-02-24,190.1097,126.8166,107.9255,120.4055,75.7044,13.3868
2016-02-25,187.6567,128.2335,108.2957,120.5947,75.1334,13.3127
2016-02-26,190.2204,127.0884,107.9378,121.2242,76.0057,13.4596
2016-02-29,190.532,127.8101,107.9957,122.0736,76.4182,13.5558
2016-03-01,190.1823,127.7607,107.9997,122.0773,76.3255,13.6516
2016-03-02,189.5549,127.5857,108.0632,122.6815,75.9519,13.7859
2016-03-03,188.3709,126.2416,107.7214,123.063,75.2853,13.7449
2016-03-04,188.4904,125.9474,107.9298,123.5995,75.2965,13.8431
2016-03-07,187.2616,126.4034,107.9771,124.2896,74.8428,13.7869
2016-03-08,187.6144,126.931,108.2131,124.7087,74.5461,13.8068
2016-03-09,186.7257,129.0639,108.6884,125.6216,74.4339,13.7519
2016-03-10,186.7256,129.3718,108.6656,126.2958,73.6234,13.918
2016-03-11,187.0002,129.6311,108.8213,124.3439,74.1047,13.8919
2016-03-14,187.2845,128.9796,108.6203,125.148,74.0987,13.9416
2016-03-15,187.2001,129.982,108.8262,125.4116,74.2374,14.1543
2016-03-16,188.0003,129.6057,108.737,124.7022,74.5667,14.2301
2016-03-17,187.8753,130.0953,108.9052,127.1478,74.8673,14.3872
2016-03-18,188.2473,127.4968,108.1929,126.8425,74.6817,14.477
2016-03-21,188.8091,127.0308,108.0176,126.4759,75.0939,14.4051
2016-03-22,190.0008,127.742,108.1502,127.0604,74.5886,14.3836
2016-03-23,192.3367,127.3086,107.9923,127.3309,76.264,14.3526
2016-03-24,192.9382,127.2727,108.206,127.0872,76.0099,14.3889
2016-03-25,196.151,126.756,107.9338,127.0117,77.2711,14.6042
2016-03-28,197.1348,124.012,107.122,126.6367,75.8165,14.7539
2016-03-29,197.0698,123.4253,106.8523,127.0514,75.4362,14.8479
2016-03-30,196.6303,123.8463,106.9983,127.4752,74.5528,14.7959
2016-03-31,199.2373,123.1292,106.8397,128.4673,76.7327,14.8188
2016-04-01,196.737,123.1034,106.8335,129.1532,76.7103,14.7371
2016-04-04,195.2507,123.3753,106.8163,128.1631,76.5039,14.648
2016-04-05,194.7939,124.9995,107.3248,128.6439,77.3673,14.3905
2016-04-06,195.1824,124.825,107.4163,129.1241,78.3407,14.1971
2016-04-07,194.9838,124.3527,107.3088,129.7757,77.1494,14.2079
2016-04-08,196.0384,124.4405,107.2194,131.8163,77.5166,14.3683
2016-04-11,196.9689,122.7199,106.7304,130.3198,77.6136,14.2891
2016-04-12,197.6791,122.8403,106.6783,131.3437,78.3632,14.4079
2016-04-13,200.5693,122.2142,106.5238,129.9665,79.0523,14.4541
2016-04-14,198.7636,122.5236,106.6854,129.7556,73.8211,14.4425
