Date,AAPL,MSFT,GOOGL,JPM,XOM
2022-01-03,150.00,340.00,138.00,155.00,62.00
2022-01-04,151.38,341.63,140.09,158.45,62.08
2022-01-05,150.82,346.32,141.96,158.09,62.63
2022-01-06,149.65,343.09,141.46,153.80,60.20
2022-01-07,148.23,337.65,140.69,151.31,58.36
2022-01-10,152.17,342.71,143.32,149.41,57.66
2022-01-11,152.53,339.39,143.78,147.94,57.19
2022-01-12,150.98,343.56,143.59,146.31,57.88
2022-01-13,147.83,339.72,137.76,143.09,57.77
2022-01-14,149.82,343.35,138.91,143.07,56.25
2022-01-17,147.99,339.17,139.57,143.22,54.39
2022-01-18,148.90,339.28,138.68,144.41,55.59
2022-01-19,151.43,340.20,139.33,145.30,56.75
2022-01-20,150.21,337.90,136.34,142.68,57.36
2022-01-21,153.91,343.07,140.60,144.24,56.86
2022-01-24,154.96,350.00,141.90,148.05,54.55
2022-01-25,157.28,353.77,142.82,148.80,52.70
2022-01-26,156.74,354.34,145.63,147.94,51.78
2022-01-27,155.42,355.75,145.87,147.04,52.16
2022-01-28,155.75,359.80,145.11,146.85,51.79
2022-01-31,151.84,355.11,143.23,146.14,51.44
2022-02-01,148.15,348.17,139.94,143.65,51.01
2022-02-02,149.27,356.62,141.88,145.14,51.09
2022-02-03,144.36,349.03,138.72,148.69,51.14
2022-02-04,145.19,350.29,137.00,151.05,52.11
2022-02-07,147.29,350.42,140.71,148.60,52.45
2022-02-08,153.15,355.88,142.99,149.78,52.17
2022-02-09,149.08,350.10,138.30,149.73,51.26
2022-02-10,153.28,353.71,140.01,152.01,50.37
2022-02-11,153.95,359.48,137.90,152.98,50.76
2022-02-14,156.15,358.41,136.18,153.98,51.20
2022-02-15,156.91,360.86,135.49,154.75,51.58
2022-02-16,155.00,364.88,136.06,152.75,51.99
2022-02-17,152.42,363.91,137.02,150.95,52.69
2022-02-18,153.60,368.83,141.84,151.23,51.93
2022-02-21,151.27,362.35,139.82,151.05,52.15
2022-02-22,153.55,366.00,144.20,151.20,54.83
2022-02-23,155.32,365.65,142.80,152.18,54.76
2022-02-24,157.35,370.57,144.17,151.19,53.20
2022-02-25,156.18,372.06,144.26,148.89,53.13
2022-02-28,157.31,370.59,144.88,148.95,52.03
2022-03-01,158.37,374.39,148.05,151.56,50.93
2022-03-02,155.83,372.54,147.70,152.26,54.69
2022-03-03,157.47,379.43,151.34,154.49,54.57
2022-03-04,159.66,379.97,151.92,153.72,54.63
2022-03-07,166.38,383.05,156.91,151.35,54.01
2022-03-08,169.67,388.26,156.72,150.64,54.71
2022-03-09,167.57,386.10,155.58,149.05,56.74
2022-03-10,169.52,381.28,156.23,147.44,57.49
2022-03-11,167.23,377.64,155.80,148.64,56.29
2022-03-14,166.31,374.62,153.56,151.68,57.02
2022-03-15,162.72,372.90,156.27,153.48,55.47
2022-03-16,161.40,375.78,154.48,154.56,56.38
2022-03-17,158.85,371.83,145.97,151.75,55.93
2022-03-18,155.45,372.83,141.69,150.70,55.96
2022-03-21,159.52,373.76,145.95,151.18,55.02
2022-03-22,160.89,376.67,145.69,151.69,54.72
2022-03-23,161.27,379.86,149.53,149.76,56.68
2022-03-24,155.88,371.18,147.17,149.11,55.85
2022-03-25,155.37,368.67,145.40,150.44,56.36
